x1,x2,x3
48.2,72.1,29
49.5,70.3,31
50.1,69.8,30
51.2,68.9,28
47.9,71.5,32
52.3,72.8,27
46.7,70.9,31
53.2,73.1,33
50.9,75.0,30
48.5,71.2,29
49.7,70.0,28
50.4,69.5,30
52.0,70.7,32
46.3,74.2,27
48.8,73.8,34
51.7,71.0,31
49.0,70.1,28
50.5,69.9,29
47.6,68.5,30
51.9,67.8,32
53.4,75.5,28
46.5,74.0,31
48.9,72.5,30
50.6,73.3,33
52.1,71.7,29
49.3,70.6,28
50.0,72.2,31
47.8,71.3,30
51.5,70.4,29
48.3,69.0,32
49.9,74.4,27
50.7,75.2,33
46.9,72.9,30
53.0,73.6,29
51.3,69.7,28
47.1,68.2,31
50.2,67.5,30
49.6,66.8,32
52.5,76.0,29
48.6,70.2,30
47.3,72.0,27
51.0,73.5,34
48.1,74.6,33
49.2,70.8,31
50.3,69.1,28
52.7,71.6,29
47.4,70.0,30
49.4,68.7,27
50.8,74.8,31
46.8,72.4,32
48.7,73.7,28
52.2,69.6,30
53.1,75.1,30
46.4,71.9,32
49.1,68.4,27
51.1,70.5,31
48.4,73.9,33
50.5,74.3,28
52.6,69.2,29
49.8,71.4,30
47.0,70.3,30
48.0,69.0,28
51.6,75.3,32
50.1,76.2,31
49.5,72.7,29
46.6,74.1,30
52.4,70.6,30
53.3,67.9,29
47.2,68.1,27
48.2,70.2,30
49.3,69.4,31
50.0,72.6,28
51.8,73.2,32
47.9,71.1,30
48.5,74.5,33
49.6,70.9,28
50.2,69.3,29
52.3,68.8,31
46.7,67.7,30
48.8,75.6,34
51.2,73.4,30
50.4,72.1,29
47.5,71.0,28
49.0,69.8,30
52.0,70.7,27
53.2,76.4,32
46.5,74.7,30
50.6,70.5,31
49.7,73.3,28
47.6,72.3,30
48.3,70.0,29
51.4,68.6,30
50.9,69.9,27
47.3,67.2,28
49.2,74.9,33
48.1,70.4,32
52.1,71.5,30
53.0,72.8,29
50.8,73.6,30
46.9,68.3,27
51.7,70.6,31
48.9,67.6,29
47.8,70.1,28
49.4,69.7,31
50.7,68.0,30
52.5,71.2,29
46.6,72.2,28
53.1,75.8,35
